ticker,thesis_status,governance_red_flag,thesis_note,ref_name
1590,OK,False,,亞德客-KY
1736,OK,False,Q1 2026 EPS 僅 0.08 元（高關稅庫存），Q2 EPS 3.19、上半年 3.27 元，7 月營收 45.8 億年增 35.8%。8 月營收截至 9/7 尚未公布。宏遠 EPS 10 元估值來源為二手轉述且無日期，信心度中等；Goodinfo 法人預估頁面 403 無法驗證（搜尋摘要顯示 EPS 區間 9-13 元，未採用）。次要客戶：Basic-Fit ~5%、Smart Fit 3-4%。BowFlex 552 啞鈴 2025/7 召回，公司稱影響小。,喬山
2059,OK,False,,川湖
2330,OK,False,,台積電
2345,OK,False,,智邦
2360,OK,False,,致茂
2368,OK,False,,金像電
2383,OK,False,,台光電
2421,OK,False,10 次預算用罄。BigGo 法說摘要與 Yahoo Q2 新聞抓取失敗（socket closed / 404），Q2 數字來自搜尋摘要。未查得 FactSet 2026-2029 EPS 中位數、EPS 1M/3M 修正幅度、客戶集中度與治理相關資訊；governance_score 因無證據留 null。eps_2026 為法人區間中值推算，非單一來源數字。,建準
2472,OK,False,,立隆電
2476,OK,False,,鉅祥
2546,OK,False,,根基
3013,OK,False,預算 10 次用盡。未取得：鉅亨網 FactSet 年度 EPS 預估（頁面未渲染）、2027~2029 EPS、EPS 近 1/3 個月修正幅度、客戶集中度百分比、8 月營收、GB300/Rubin 2026 下半年最新法說內容（Q2 法說 2026-08-06 董事會後之新聞未抓到）。理財周刊文章兩次抓取失敗。「GB300 冷卻機櫃訂單上看 60 億」來自 CMoney AI 摘要，信心度低。governance 僅查到 2026/6/12 股東會董事全面改選與泰國子公司增資，未見裁罰/內部人異常，但未查證公開資訊觀測站，故給 3 分而非 4 分。eps_2026 7.47 為 2025-11 舊預估，標記 stale。,晟銘電
3044,OK,False,,健鼎
3617,OK,False,,碩天
3665,OK,False,,貿聯-KY
6139,OK,False,Q2'26 EPS 16.46 元（歷史單季新高）、H1 EPS 25.91 元、H1 毛利率 20.2%/營益率 18.2%；7 月營收 109.29 億元年增 62%；8 月營收尚未在搜尋到的來源出現。財報狗/鉅亨網目前顯示近四季 EPS 49.69、本益比約 15 倍（股價 ~742）。客戶集中度：僅找到產業別（半導體 97%）與地區別（東協 76%），年報未查到單一客戶占比。治理：2026/1 股價異常時公司公告無未揭露重大訊息；2026/5 蘇州子公司臨時股東會通過海外機電工程訂單之關係人交易（集團內部承攬，屬營運性質），未見增資、重編、內線裁罰。AI 資料中心機電業務未見公司明確揭露。eps_rev_1m 為法人平均預估稅後純益較上月上修 0.99%，非嚴格 EPS 共識修正。,亞翔
6183,OK,False,預算10次用盡。2026-08-11法說會內容（新平台/AI/海外/在手訂單量化）未能取得原文；2026-2029法人EPS預估（FactSet/券商）查無。得標資料來自開放政府標案（pcc.mlwmlw.org）彙整，非公司法說原文。new_capacity對軟體服務業不適用故填null。H1 2026 EPS 2.41元為搜尋摘要所述（8/6提報Q2財報），未直接核對MOPS原文。,關貿
6196,OK,False,,帆宣
6197,OK,False,,佳必琪
6206,OK,False,,飛捷
6209,OK,False,,今國光
6442,OK,False,,光聖
6525,OK,False,,捷敏-KY
6531,OK,False,,愛普*
6669,OK,False,,緯穎
6782,OK,False,WebFetch 預算10次已用罄。未查得 2027-2029 法人預估與 EPS 修正趨勢（cnyes 頁面未顯示 FactSet 資料）。客戶集中度數據來自 2025/5 Genet 法說筆記（stale）。工商時報 5/16 全文 403，內容取自搜尋摘要。搜尋結果出現『2026 H1 累計 EPS 成長率 -23.34%』與 Q2 EPS +56% YoY 矛盾，疑為資料庫誤植，未採用。2026/5/26 董事全面改選（含獨董），未發現治理紅旗，但未能查驗內部人申讓明細。,視陽
6805,OK,False,,富世達
8210,OK,False,,勤誠
8462,OK,False,預算 10 次用盡。FactSet/券商 EPS 預估未找到（鉅亨速報無柏文條目），eps_2026~2029 全部 null；未查到增資公告，董監持股 35.98% 來自搜尋摘要（未逐頁驗證）；customer_concentration 對 B2C 健身業不適用故為 null。會員數具體數字未公開，僅有「自 2022/5 起連續增加」。,柏文
