ticker,name,eps_2026,eps_2027,eps_2028,eps_2029,eps_source,thesis,risk,industry,px,pe_pct5y,base_pe_t3,bull_eps_t3,bull_pe_t3,action_first_cut,horizon_year,horizon_complete,required_pe_for_2x_t3,base_target_t3,base_upside_t3_pct,bull_target_proxy,bull_upside_proxy_pct
1736,喬山,10.0,,,,宏遠證券（經 CMoney readmo 轉述）：2026 營收 600 億、EPS 約 10 元、目標價 170 元；文章未標明日期。另有法人報告稱 2025-2028 獲利 CAGR 21%（CMoney 2026-04-30，未給逐年 EPS）。未找到 FactSet/鉅亨共識與 2027-2029 逐年預估。,"越南二廠 8 月啟用（合計產能 6 億美元、可支撐千億營收）+ 美國關稅差（越南 14.6% vs 中國 22.1%）+ 商用市占目標 2026 年 52%、2028 年 70%，搭配 4,000 萬美元關稅退稅與毛利率逐季回升，2026 獲利可望大幅跳升並創高。",Q2 毛利率 62.8% 含高關稅庫存回沖與退稅一次性效益，正常化後毛利率與 EPS 可能低於市場預期；7 月營收月減 11.9%，美國家用需求與關稅政策反覆仍是主要變數。,,,,,,,,,,,,,,
2330,台積電,107.74,137.21,172.01,221.5,,AI/HPC、先進製程與先進封裝長期結構成長；目前清單中少數已有2029 EPS共識者。,基數大、地緣政治與資本支出週期；估值已高於歷史低檔。,半導體,2410,79,22,240.0,24,ADD,2029,True,21.760722347629798,4873.0,102.19917012448133,5760.0,139.00414937759336
2345,智邦,83.78,114.84,160.55,,,AI網路由800G升級至1.6T/OCS/CPO，EPS共識仍上修；2028中位EPS已約160.55元。,真正3年期2029共識尚缺；AI CAPEX或網路規格延後會壓縮成長。,通信網路,2100,73,25,180.0,27,ADD,2029,False,,,,4860.0,131.42857142857144
2360,致茂,45.09,64.05,76.43,,,AI電源、SLT、先進封裝與CPO測試提供多產品成長；EPS共識仍上修。,目前估值位階高，若2028後成長放緩，PE壓縮可能抵銷EPS成長。,其他電子,2030,90,28,95.0,30,HOLD,2029,False,,,,2850.0,40.39408866995073
2368,金像電,40.95,65.11,95.07,,,AI server與高速交換器PCB驅動，2026 EPS共識由38.28上修至40.95，2027/28續增。,PE位階偏高；PCB擴產若快於需求可能壓回估值。,電子零組件,1045,85,18,110.0,20,ADD,2029,False,,,,2200.0,110.52631578947367
2383,台光電,114.67,216.47,339.96,,,M9/高階CCL需求強，2026 EPS共識上修且2027/28預估大幅成長。,目前PE位階92%，價格已反映大量成長；真正3年翻倍需2029仍維持高成長。,電子零組件,5415,92,18,380.0,20,WATCH,2029,False,,,,7600.0,40.35087719298245
2421,建準,10.5,,,,法人預估 2026 全年 EPS 區間 9.33～11.79 元（CMoney 彙整，取區間中值 10.5 作代表值，非 FactSet 中位數）；另 2025/11 多家法人上修 2026 EPS 至 10 元以上（旺得富）。2027-2029 未查得公開共識數字。,建準由 PC/通用伺服器風扇廠轉型為 AI 伺服器全方位散熱供應商：2026Q1 營收 50.19 億(+20.6% YoY)、EPS 2.36，伺服器占營收 47.3%、AI 伺服器占 22.6%（其中 ASIC 專案占 63%）；水冷板 Q1 完成首批出貨、CDU 通過驗證，Q3 新一代 ASIC 水冷板與首創 800V HVDC 大型 EC 風扇（800mm）出貨，公司指引下半年「跳躍性成長」。Q2 營收 54.18 億(+16.2% YoY)、EPS 2.42，H1 EPS 4.78(+54% YoY)。2026 資本支出逾 15 億，其中約 12 億投入菲律賓新廠、其餘為惠州廠液冷設備。法人估 2026 EPS 約 9.3～11.8 元，目標價 175～200 元區間，仍屬中低本益比，具「風扇→液冷」重估空間。,1) AI 伺服器訂單遞延：Q1 因記憶體/PCB/晶片供應不順約 11 億元訂單延至下半年，H2 放量能否兌現是關鍵；2) 液冷 2026 營收貢獻僅低個位數 %，重估仍偏題材，需等 2027 比重提升驗證；3) 水冷板/CDU 競爭者眾（奇鋐、雙鴻、高力等），建準為後進者，毛利與份額不確定；4) 菲律賓新廠 12 億元資本支出增加折舊與執行風險；5) GB300/Rubin 散熱價值量提升多為券商推估，公司未揭露 NVIDIA 平台具體份額；6) 客戶集中度未揭露。,,,,,,,,,,,,,,
3013,晟銘電,7.47,,,,法人/券商預估（CMoney 2025-11-14 券商評等彙整：目標價175~200元，2026 EPS 7.47元；鉅亨網 FactSet 預估頁未取得年度數字）,由傳統伺服器機殼廠轉型為 AI rack 機構件/液冷機櫃供應商：Meta Sidecar 水冷機櫃主要供應商（市佔>5成）、NVIDIA MGX 2U/4U 機箱與 GB300 機箱通過驗證並於 2026Q1 量產、Meta MTIA ASIC 機櫃 2026 放量；泰國廠 2026Q1 量產＋中壢廠 9.7 億擴產，2026 產能倍增。2026H1 EPS 2.78 元（Q2 1.41 元、年增 161%），7 月營收年增 32%，AI/液冷占比與毛利率（17.5%）逐季改善。,1) 客戶集中：營收高度依賴 Meta（Sidecar/MTIA）與 NVIDIA 平台節奏，Meta 資本支出或平台改版（GB300→Rubin）若延後直接影響出貨；2) 毛利率仍偏低（~17.5%），機構件/機殼本質為代工，議價力弱、鈑金/銅料成本波動；3) 法人 2026 EPS 7.47 元係 2025/11 預估，H1 僅達 2.78 元，下半年需 4.7 元才達標，預估存在下修風險；4) 液冷 Sidecar 屬過渡方案，未來 CDU 內建於 rack 或 in-row 架構普及可能削弱 Sidecar 需求；5) 泰國新廠爬坡良率與折舊壓力；6) 兩岸四廠（東莞/寧波）受美中關稅與地緣影響。,,,,,,,,,,,,,,
3665,貿聯-KY,66.09,111.23,148.41,,,AI data/power interconnect成長，2026 EPS共識持續小幅上修，2027/28跳升。,PE位階高且有股本稀釋風險；需確認2029持續性。,其他電子,2145,90,20,170.0,22,HOLD,2029,False,,,,3740.0,74.35897435897436
6139,亞翔,65.54,47.61,,,"2026: 群益證券 65.54 元（目標價 1,500 元，CMoney 理財寶 2026/8 轉述）；法人平均預估 2026 稅後純益 132.02 億元、EPS 區間 47.92~65.54 元（2026/8）；MoneyDJ 2026/6/26 法人估 60~70 元。2027: 僅有中信投顧等 2025/12/30 舊估 47.61 元（工商時報，stale，早於新加坡 5,000 億大單，明顯偏低）。2028/2029 無公開預估。","新加坡美系記憶體廠（美光）新台幣近 5,000 億元廠務統包大單＋台灣 2 奈米/先進封裝/記憶體擴產，使在手訂單 4,400 億元（約全年營收 5.7 倍）、能見度到 2029 年，EPC 統包比重上升帶動毛利率升至 20%，2026 EPS 由 2025 年 27 元躍升至 50~65 元區間。",營收 97% 集中半導體、在手訂單 76% 集中東協且高度依賴單一記憶體客戶新加坡專案，若記憶體資本支出反轉或大型專案延宕/執行成本失控，訂單認列與毛利率會同時受衝擊；另公司自承工程管理人才短缺限制接單。,,,,,,,,,,,,,,
