ticker,claim_type,claim,source_url,source_name,published_at,research_date,confidence,direction,notes
3008,next_platform,CPO量產導向客戶送樣認證中，最快2027年中貢獻營收,https://www.youtube.com/watch?v=-J-z_Lk41gs,先探i投資,2026-09-04,2026-09-13,0.55,positive,影片 -J-z_Lk41gs 自動萃取，未核實；入 evidence_ledger 前需人工確認
3008,new_capacity,今年五度買地砸重金約63億元擴產,https://www.youtube.com/watch?v=-J-z_Lk41gs,先探i投資,2026-09-04,2026-09-13,0.6,positive,影片 -J-z_Lk41gs 自動萃取，未核實；入 evidence_ledger 前需人工確認
3037,governance,欣興洗產地爭議產品為低階PCB而非高階ABF載板，非做假帳，對營收本質影響有限,https://www.youtube.com/watch?v=0qHY3utUy9c,郭哲榮分析師-摩爾證券投顧,2026-08-31,2026-09-13,0.35,neutral,影片 0qHY3utUy9c 自動萃取，未核實；入 evidence_ledger 前需人工確認
3491,eps_revision,"低軌衛星星間鏈路組件放量,法人估今年EPS 18.5元(年增135%)、明年35.6元(年增逾9成)",https://www.youtube.com/watch?v=1wwz90sVkJk,MVP財經生活頻道,2026-09-03,2026-09-13,0.55,positive,影片 1wwz90sVkJk 自動萃取，未核實；入 evidence_ledger 前需人工確認
6426,new_product_mix,"WDM濾光片切入低軌衛星供應鏈並開始小批量交付,上半年EPS 2.96元轉盈",https://www.youtube.com/watch?v=1wwz90sVkJk,MVP財經生活頻道,2026-09-03,2026-09-13,0.5,positive,影片 1wwz90sVkJk 自動萃取，未核實；入 evidence_ledger 前需人工確認
7717,order_visibility,"受惠OISL光學星間鏈路需求,法人估今年EPS 8.5元、明年12.4元",https://www.youtube.com/watch?v=1wwz90sVkJk,MVP財經生活頻道,2026-09-03,2026-09-13,0.5,positive,影片 1wwz90sVkJk 自動萃取，未核實；入 evidence_ledger 前需人工確認
2408,other,Investing.com公允價值工具評估南亞科有20%以上上漲空間,https://www.youtube.com/watch?v=26Oa8VayU6w,尼可拉斯楊Live精,2026-08-21,2026-09-13,0.3,positive,影片 26Oa8VayU6w 自動萃取，未核實；入 evidence_ledger 前需人工確認
2455,eps_revision,全新1.6T PD產品下半年放量，法人預估明年EPS看9.4元(年增約7成),https://www.youtube.com/watch?v=3Paqg15HpJE,MVP財經生活頻道,2026-09-10,2026-09-13,0.5,positive,影片 3Paqg15HpJE 自動萃取，未核實；入 evidence_ledger 前需人工確認
3450,eps_revision,聯鈞法人預估今年EPS 9.8元(去年5.01元)，明年估看15.9元，AI相關營收占比大幅提升,https://www.youtube.com/watch?v=3Paqg15HpJE,MVP財經生活頻道,2026-09-10,2026-09-13,0.5,positive,影片 3Paqg15HpJE 自動萃取，未核實；入 evidence_ledger 前需人工確認
6525,next_platform,捷敏-KY(聯鈞轉投資)佈局電源管理IC封測，並發展CPO/NPO近封裝光學(工程樣品階段),https://www.youtube.com/watch?v=3Paqg15HpJE,MVP財經生活頻道,2026-09-10,2026-09-13,0.4,positive,影片 3Paqg15HpJE 自動萃取，未核實；入 evidence_ledger 前需人工確認
3374,governance,市場傳聞台積電可能出售精材股權,https://www.youtube.com/watch?v=3ZFaD9tKVW8,郭哲榮分析師-摩爾證券投顧,2026-08-17,2026-09-13,0.2,negative,影片 3ZFaD9tKVW8 自動萃取，未核實；入 evidence_ledger 前需人工確認
3008,new_capacity,大立光2026年6至8月斥資63億元五連買土地布局CPO光學對位產能,https://www.youtube.com/watch?v=4AT7ESren_o,先探i投資,2026-09-03,2026-09-13,0.6,positive,影片 4AT7ESren_o 自動萃取，未核實；入 evidence_ledger 前需人工確認
3406,governance,玉晶光首度私募約20億元，引進戰略投資人並擴大全球產能與CPO/矽光子業務,https://www.youtube.com/watch?v=4AT7ESren_o,先探i投資,2026-09-03,2026-09-13,0.55,positive,影片 4AT7ESren_o 自動萃取，未核實；入 evidence_ledger 前需人工確認
3406,order_visibility,康寧獲輝達預付30億美元鎖定產能，透過玉晶光合作CPO光學對位平台並對接台積電COUPE聯盟,https://www.youtube.com/watch?v=4AT7ESren_o,先探i投資,2026-09-03,2026-09-13,0.55,positive,影片 4AT7ESren_o 自動萃取，未核實；入 evidence_ledger 前需人工確認
3008,eps_revision,大立光CPO業務預估2027至2028年放量，貢獻營收10%至20%,https://www.youtube.com/watch?v=4AT7ESren_o,先探i投資,2026-09-03,2026-09-13,0.5,positive,影片 4AT7ESren_o 自動萃取，未核實；入 evidence_ledger 前需人工確認
3406,eps_revision,玉晶光光學連接器2027年占營收15%以上、2028年超過20%,https://www.youtube.com/watch?v=4AT7ESren_o,先探i投資,2026-09-03,2026-09-13,0.5,positive,影片 4AT7ESren_o 自動萃取，未核實；入 evidence_ledger 前需人工確認
8299,other,InvestingPro估值模型顯示群聯上漲潛力約45%,https://www.youtube.com/watch?v=5HEAo9a-y1w,尼可拉斯楊Live精,2026-09-07,2026-09-13,0.25,positive,影片 5HEAo9a-y1w 自動萃取，未核實；入 evidence_ledger 前需人工確認
5289,eps_revision,宜鼎前8月營收年增576.29%、半年獲利已超過去20年總和，InvestingPro估值上漲潛力22%,https://www.youtube.com/watch?v=5HEAo9a-y1w,尼可拉斯楊Live精,2026-09-07,2026-09-13,0.35,positive,影片 5HEAo9a-y1w 自動萃取，未核實；入 evidence_ledger 前需人工確認
2454,order_visibility,輝達首次投資台灣公司，聯發科邊緣運算/ASIC客製化題材增溫,https://www.youtube.com/watch?v=5xHIEebCD80,郭哲榮分析師-摩爾證券投顧,2026-09-01,2026-09-13,0.5,positive,影片 5xHIEebCD80 自動萃取，未核實；入 evidence_ledger 前需人工確認
2344,order_visibility,記憶體供需持續偏緊，華邦電雖不便宜但看好續漲,https://www.youtube.com/watch?v=5xHIEebCD80,郭哲榮分析師-摩爾證券投顧,2026-09-01,2026-09-13,0.4,positive,影片 5xHIEebCD80 自動萃取，未核實；入 evidence_ledger 前需人工確認
6532,eps_revision,台勝科8月營收創高，矽晶圓缺貨，明年營收估成長50~100%,https://www.youtube.com/watch?v=6YVdmyses44,郭哲榮分析師-摩爾證券投顧,2026-09-08,2026-09-13,0.4,positive,影片 6YVdmyses44 自動萃取，未核實；入 evidence_ledger 前需人工確認
8299,governance,群聯老闆布局到位，持續看好記憶體缺貨行情,https://www.youtube.com/watch?v=6YVdmyses44,郭哲榮分析師-摩爾證券投顧,2026-09-08,2026-09-13,0.45,positive,影片 6YVdmyses44 自動萃取，未核實；入 evidence_ledger 前需人工確認
5483,order_visibility,ABF搶料，中美晶迎轉單利多,https://www.youtube.com/watch?v=6Zlek2Po_cc,郭哲榮分析師-摩爾證券投顧,2026-08-21,2026-09-13,0.4,positive,影片 6Zlek2Po_cc 自動萃取，未核實；入 evidence_ledger 前需人工確認
